#name       mass  charge    H   He    C    N    O   Si    S   Fe   Na   Mg   Cl    P    F
CH3CNH+       42       1    4    0    2    1    0    0    0    0    0    0    0    0    0
C2H4O+        44       1    4    0    2    0    1    0    0    0    0    0    0    0    0
C2H5+         29       1    5    0    2    0    0    0    0    0    0    0    0    0    0
C3H3N+        53       1    3    0    3    1    0    0    0    0    0    0    0    0    0
C3H4+         40       1    4    0    3    0    0    0    0    0    0    0    0    0    0
HC5N+         75       1    1    0    5    1    0    0    0    0    0    0    0    0    0
C6H+          73       1    1    0    6    0    0    0    0    0    0    0    0    0    0
CH3NH2+       31       1    5    0    1    1    0    0    0    0    0    0    0    0    0
CH3OH2+       33       1    5    0    1    0    1    0    0    0    0    0    0    0    0
H3C3O+        55       1    3    0    3    0    1    0    0    0    0    0    0    0    0
NH2CH2O+      46       1    4    0    1    1    1    0    0    0    0    0    0    0    0
PC2H4+        59       1    4    0    2    0    0    0    0    0    0    0    0    1    0
PC4H2+        81       1    2    0    4    0    0    0    0    0    0    0    0    1    0
HC5O+         77       1    1    0    5    0    1    0    0    0    0    0    0    0    0
C6N+          86       1    0    0    6    1    0    0    0    0    0    0    0    0    0
H2C5N+        76       1    2    0    5    1    0    0    0    0    0    0    0    0    0
C8+           96       1    0    0    8    0    0    0    0    0    0    0    0    0    0
C7H-          85      -1    1    0    7    0    0    0    0    0    0    0    0    0    0
C8-           96      -1    0    0    8    0    0    0    0    0    0    0    0    0    0
C5H3+         63       1    3    0    5    0    0    0    0    0    0    0    0    0    0
C3H5+         41       1    5    0    3    0    0    0    0    0    0    0    0    0    0
C6H2+         74       1    2    0    6    0    0    0    0    0    0    0    0    0    0
C7H+          85       1    1    0    7    0    0    0    0    0    0    0    0    0    0
CH3CHOH+      45       1    5    0    2    0    1    0    0    0    0    0    0    0    0
C2H6+         30       1    6    0    2    0    0    0    0    0    0    0    0    0    0
C3H3NH+       54       1    4    0    3    1    0    0    0    0    0    0    0    0    0
C4H4+         52       1    4    0    4    0    0    0    0    0    0    0    0    0    0
C7N+          98       1    0    0    7    1    0    0    0    0    0    0    0    0    0
CH3NH3+       32       1    6    0    1    1    0    0    0    0    0    0    0    0    0
COOCH4+       60       1    4    0    2    0    2    0    0    0    0    0    0    0    0
H3C4N+        65       1    3    0    4    1    0    0    0    0    0    0    0    0    0
HC6N+         87       1    1    0    6    1    0    0    0    0    0    0    0    0    0
C9+          108       1    0    0    9    0    0    0    0    0    0    0    0    0    0
C8H-          97      -1    1    0    8    0    0    0    0    0    0    0    0    0    0
C9-          108      -1    0    0    9    0    0    0    0    0    0    0    0    0    0
C4H5+         53       1    5    0    4    0    0    0    0    0    0    0    0    0    0
C6H3+         75       1    3    0    6    0    0    0    0    0    0    0    0    0    0
C7H2+         86       1    2    0    7    0    0    0    0    0    0    0    0    0    0
C2H5OH+       46       1    6    0    2    0    1    0    0    0    0    0    0    0    0
H3C4NH+       66       1    4    0    4    1    0    0    0    0    0    0    0    0    0
C5H3N+        77       1    3    0    5    1    0    0    0    0    0    0    0    0    0
C5H4+         64       1    4    0    5    0    0    0    0    0    0    0    0    0    0
HC7N+         99       1    1    0    7    1    0    0    0    0    0    0    0    0    0
C8H+          97       1    1    0    8    0    0    0    0    0    0    0    0    0    0
CH3OCH3+      46       1    6    0    2    0    1    0    0    0    0    0    0    0    0
H5C2O2+       61       1    5    0    2    0    2    0    0    0    0    0    0    0    0
HC7O+        101       1    1    0    7    0    1    0    0    0    0    0    0    0    0
C8N+         110       1    0    0    8    1    0    0    0    0    0    0    0    0    0
H2C6N+        88       1    2    0    6    1    0    0    0    0    0    0    0    0    0
C2H7+         31       1    7    0    2    0    0    0    0    0    0    0    0    0    0
C10+         120       1    0    0   10    0    0    0    0    0    0    0    0    0    0
CH3OCH4+      47       1    7    0    2    0    1    0    0    0    0    0    0    0    0
C9H-         109      -1    1    0    9    0    0    0    0    0    0    0    0    0    0
C10-         120      -1    0    0   10    0    0    0    0    0    0    0    0    0    0
C7H2N+       100       1    2    0    7    1    0    0    0    0    0    0    0    0    0
C7H3+         87       1    3    0    7    0    0    0    0    0    0    0    0    0    0
C5H5+         65       1    5    0    5    0    0    0    0    0    0    0    0    0    0
C8H2+         98       1    2    0    8    0    0    0    0    0    0    0    0    0    0
C9H+         109       1    1    0    9    0    0    0    0    0    0    0    0    0    0
C2H5OH2+      47       1    7    0    2    0    1    0    0    0    0    0    0    0    0
C2H6CO+       58       1    6    0    3    0    1    0    0    0    0    0    0    0    0
C5H4N+        78       1    4    0    5    1    0    0    0    0    0    0    0    0    0
C6H4+         76       1    4    0    6    0    0    0    0    0    0    0    0    0    0
C9N+         122       1    0    0    9    1    0    0    0    0    0    0    0    0    0
HC8N+        111       1    1    0    8    1    0    0    0    0    0    0    0    0    0
C10H+        121       1    1    0   10    0    0    0    0    0    0    0    0    0    0
C10H-        121      -1    1    0   10    0    0    0    0    0    0    0    0    0    0
C8H3+         99       1    3    0    8    0    0    0    0    0    0    0    0    0    0
C9H2+        110       1    2    0    9    0    0    0    0    0    0    0    0    0    0
C3H6OH+       59       1    7    0    3    0    1    0    0    0    0    0    0    0    0
C4H7+         55       1    7    0    4    0    0    0    0    0    0    0    0    0    0
H3C6NH+       90       1    4    0    6    1    0    0    0    0    0    0    0    0    0
C6H5+         77       1    5    0    6    0    0    0    0    0    0    0    0    0    0
H3C7N+       101       1    3    0    7    1    0    0    0    0    0    0    0    0    0
C7H4+         88       1    4    0    7    0    0    0    0    0    0    0    0    0    0
C9HN+        123       1    1    0    9    1    0    0    0    0    0    0    0    0    0
C11+         132       1    0    0   11    0    0    0    0    0    0    0    0    0    0
HC9O+        125       1    1    0    9    0    1    0    0    0    0    0    0    0    0
C10N+        134       1    0    0   10    1    0    0    0    0    0    0    0    0    0
H2C8N+       112       1    2    0    8    1    0    0    0    0    0    0    0    0    0
C9H2N+       124       1    2    0    9    1    0    0    0    0    0    0    0    0    0
C9H3+        111       1    3    0    9    0    0    0    0    0    0    0    0    0    0
C10H2+       122       1    2    0   10    0    0    0    0    0    0    0    0    0    0
C7H5+         89       1    5    0    7    0    0    0    0    0    0    0    0    0    0
C8H4+        100       1    4    0    8    0    0    0    0    0    0    0    0    0    0
HC10N+       135       1    1    0   10    1    0    0    0    0    0    0    0    0    0
C6H7+         79       1    7    0    6    0    0    0    0    0    0    0    0    0    0
C9H4+        112       1    4    0    9    0    0    0    0    0    0    0    0    0    0
C8H4N+       114       1    4    0    8    1    0    0    0    0    0    0    0    0    0
C8H5+        101       1    5    0    8    0    0    0    0    0    0    0    0    0    0
C9H3N+       125       1    3    0    9    1    0    0    0    0    0    0    0    0    0
C10H3+       123       1    3    0   10    0    0    0    0    0    0    0    0    0    0
H2C10N+      136       1    2    0   10    1    0    0    0    0    0    0    0    0    0
C9H5+        113       1    5    0    9    0    0    0    0    0    0    0    0    0    0
XH             1       0    1    0    0    0    0    0    0    0    0    0    0    0    0
O3            48       0    0    0    0    0    3    0    0    0    0    0    0    0    0
FeH           57       0    1    0    0    0    0    0    0    1    0    0    0    0    0
MgH2          26       0    2    0    0    0    0    0    0    0    0    1    0    0    0
HNCO          43       0    1    0    1    1    1    0    0    0    0    0    0    0    0
HC2O          41       0    1    0    2    0    1    0    0    0    0    0    0    0    0
CH2OH         31       0    3    0    1    0    1    0    0    0    0    0    0    0    0
C5H3          63       0    3    0    5    0    0    0    0    0    0    0    0    0    0
C6H3          75       0    3    0    6    0    0    0    0    0    0    0    0    0    0
C7H3          87       0    3    0    7    0    0    0    0    0    0    0    0    0    0
C8H3          99       0    3    0    8    0    0    0    0    0    0    0    0    0    0
C9H3         111       0    3    0    9    0    0    0    0    0    0    0    0    0    0
C5H4          64       0    4    0    5    0    0    0    0    0    0    0    0    0    0
C6H4          76       0    4    0    6    0    0    0    0    0    0    0    0    0    0
C7H4          88       0    4    0    7    0    0    0    0    0    0    0    0    0    0
C8H4         100       0    4    0    8    0    0    0    0    0    0    0    0    0    0
C9H4         112       0    4    0    9    0    0    0    0    0    0    0    0    0    0
CH3CO         43       0    3    0    2    0    1    0    0    0    0    0    0    0    0
CH3OCH2       45       0    5    0    2    0    1    0    0    0    0    0    0    0    0
CH2NH2        30       0    4    0    1    1    0    0    0    0    0    0    0    0    0
HCOCO         57       0    1    0    2    0    2    0    0    0    0    0    0    0    0
HCOCHO        58       0    2    0    2    0    2    0    0    0    0    0    0    0    0
CH3O          31       0    3    0    1    0    1    0    0    0    0    0    0    0    0
HOCO          45       0    1    0    1    0    2    0    0    0    0    0    0    0    0
sC            12       0    0    0    1    0    0    0    0    0    0    0    0    0    0
sCl           35       0    0    0    0    0    0    0    0    0    0    0    1    0    0
sFe           56       0    0    0    0    0    0    0    0    1    0    0    0    0    0
sH             1       0    1    0    0    0    0    0    0    0    0    0    0    0    0
sHe            4       0    0    1    0    0    0    0    0    0    0    0    0    0    0
sMg           24       0    0    0    0    0    0    0    0    0    0    1    0    0    0
sN            14       0    0    0    0    1    0    0    0    0    0    0    0    0    0
sNa           23       0    0    0    0    0    0    0    0    0    1    0    0    0    0
sO            16       0    0    0    0    0    1    0    0    0    0    0    0    0    0
sP            31       0    0    0    0    0    0    0    0    0    0    0    0    1    0
sS            32       0    0    0    0    0    0    0    1    0    0    0    0    0    0
sSi           28       0    0    0    0    0    0    1    0    0    0    0    0    0    0
sF            19       0    0    0    0    0    0    0    0    0    0    0    0    0    1
sC2           24       0    0    0    2    0    0    0    0    0    0    0    0    0    0
sCCl          47       0    0    0    1    0    0    0    0    0    0    0    1    0    0
sCH           13       0    1    0    1    0    0    0    0    0    0    0    0    0    0
sClO          51       0    0    0    0    0    1    0    0    0    0    0    1    0    0
sCN           26       0    0    0    1    1    0    0    0    0    0    0    0    0    0
sCO           28       0    0    0    1    0    1    0    0    0    0    0    0    0    0
sCP           43       0    0    0    1    0    0    0    0    0    0    0    0    1    0
sCS           44       0    0    0    1    0    0    0    1    0    0    0    0    0    0
sH2            2       0    2    0    0    0    0    0    0    0    0    0    0    0    0
sHCl          36       0    1    0    0    0    0    0    0    0    0    0    1    0    0
sHF           20       0    1    0    0    0    0    0    0    0    0    0    0    0    1
sHS           33       0    1    0    0    0    0    0    1    0    0    0    0    0    0
sMgH          25       0    1    0    0    0    0    0    0    0    0    1    0    0    0
sN2           28       0    0    0    0    2    0    0    0    0    0    0    0    0    0
sNaH          24       0    1    0    0    0    0    0    0    0    1    0    0    0    0
sNH           15       0    1    0    0    1    0    0    0    0    0    0    0    0    0
sNO           30       0    0    0    0    1    1    0    0    0    0    0    0    0    0
sNS           46       0    0    0    0    1    0    0    1    0    0    0    0    0    0
sO2           32       0    0    0    0    0    2    0    0    0    0    0    0    0    0
sOH           17       0    1    0    0    0    1    0    0    0    0    0    0    0    0
sPH           32       0    1    0    0    0    0    0    0    0    0    0    0    1    0
sPN           45       0    0    0    0    1    0    0    0    0    0    0    0    1    0
sPO           47       0    0    0    0    0    1    0    0    0    0    0    0    1    0
sS2           64       0    0    0    0    0    0    0    2    0    0    0    0    0    0
sSiC          40       0    0    0    1    0    0    1    0    0    0    0    0    0    0
sSiH          29       0    1    0    0    0    0    1    0    0    0    0    0    0    0
sSiN          42       0    0    0    0    1    0    1    0    0    0    0    0    0    0
sSiO          44       0    0    0    0    0    1    1    0    0    0    0    0    0    0
sSiS          60       0    0    0    0    0    0    1    1    0    0    0    0    0    0
sSO           48       0    0    0    0    0    1    0    1    0    0    0    0    0    0
sFeH          57       0    1    0    0    0    0    0    0    1    0    0    0    0    0
sCCH          25       0    1    0    2    0    0    0    0    0    0    0    0    0    0
sCCN          38       0    0    0    2    1    0    0    0    0    0    0    0    0    0
sCCS          56       0    0    0    2    0    0    0    1    0    0    0    0    0    0
sC3           36       0    0    0    3    0    0    0    0    0    0    0    0    0    0
sCCO          40       0    0    0    2    0    1    0    0    0    0    0    0    0    0
sCCP          55       0    0    0    2    0    0    0    0    0    0    0    0    1    0
sCH2          14       0    2    0    1    0    0    0    0    0    0    0    0    0    0
sCO2          44       0    0    0    1    0    2    0    0    0    0    0    0    0    0
sH2O          18       0    2    0    0    0    1    0    0    0    0    0    0    0    0
sH2S          34       0    2    0    0    0    0    0    1    0    0    0    0    0    0
sHCN          27       0    1    0    1    1    0    0    0    0    0    0    0    0    0
sHCO          29       0    1    0    1    0    1    0    0    0    0    0    0    0    0
sHCP          44       0    1    0    1    0    0    0    0    0    0    0    0    1    0
sHCS          45       0    1    0    1    0    0    0    1    0    0    0    0    0    0
sHCSi         41       0    1    0    1    0    0    1    0    0    0    0    0    0    0
sHNC          27       0    1    0    1    1    0    0    0    0    0    0    0    0    0
sHNO          31       0    1    0    0    1    1    0    0    0    0    0    0    0    0
sHNSi         43       0    1    0    0    1    0    1    0    0    0    0    0    0    0
sHPO          48       0    1    0    0    0    1    0    0    0    0    0    0    1    0
sHSS          65       0    1    0    0    0    0    0    2    0    0    0    0    0    0
sN2O          44       0    0    0    0    2    1    0    0    0    0    0    0    0    0
sNaOH         40       0    1    0    0    0    1    0    0    0    1    0    0    0    0
sNH2          16       0    2    0    0    1    0    0    0    0    0    0    0    0    0
sNO2          46       0    0    0    0    1    2    0    0    0    0    0    0    0    0
sO2H          33       0    1    0    0    0    2    0    0    0    0    0    0    0    0
sOCN          42       0    0    0    1    1    1    0    0    0    0    0    0    0    0
sOCS          60       0    0    0    1    0    1    0    1    0    0    0    0    0    0
sPH2          33       0    2    0    0    0    0    0    0    0    0    0    0    1    0
sc-SiC2       52       0    0    0    2    0    0    1    0    0    0    0    0    0    0
sSiH2         30       0    2    0    0    0    0    1    0    0    0    0    0    0    0
sSiNC         54       0    0    0    1    1    0    1    0    0    0    0    0    0    0
sSiO2         60       0    0    0    0    0    2    1    0    0    0    0    0    0    0
sSO2          64       0    0    0    0    0    2    0    1    0    0    0    0    0    0
sO3           48       0    0    0    0    0    3    0    0    0    0    0    0    0    0
sMgH2         26       0    2    0    0    0    0    0    0    0    0    1    0    0    0
sC2H2         26       0    2    0    2    0    0    0    0    0    0    0    0    0    0
sc-C3H        37       0    1    0    3    0    0    0    0    0    0    0    0    0    0
sC3N          50       0    0    0    3    1    0    0    0    0    0    0    0    0    0
sC3O          52       0    0    0    3    0    1    0    0    0    0    0    0    0    0
sC3P          67       0    0    0    3    0    0    0    0    0    0    0    0    1    0
sC3S          68       0    0    0    3    0    0    0    1    0    0    0    0    0    0
sC4           48       0    0    0    4    0    0    0    0    0    0    0    0    0    0
sCH3          15       0    3    0    1    0    0    0    0    0    0    0    0    0    0
sH2CN         28       0    2    0    1    1    0    0    0    0    0    0    0    0    0
sH2CO         30       0    2    0    1    0    1    0    0    0    0    0    0    0    0
sH2CS         46       0    2    0    1    0    0    0    1    0    0    0    0    0    0
sHOOH         34       0    2    0    0    0    2    0    0    0    0    0    0    0    0
sHSSH         66       0    2    0    0    0    0    0    2    0    0    0    0    0    0
sH2SiO        46       0    2    0    0    0    1    1    0    0    0    0    0    0    0
sHCCP         56       0    1    0    2    0    0    0    0    0    0    0    0    1    0
sNH3          17       0    3    0    0    1    0    0    0    0    0    0    0    0    0
sHCCSi        53       0    1    0    2    0    0    1    0    0    0    0    0    0    0
sl-SiC3       64       0    0    0    3    0    0    1    0    0    0    0    0    0    0
sSiCH2        42       0    2    0    1    0    0    1    0    0    0    0    0    0    0
sSiH3         31       0    3    0    0    0    0    1    0    0    0    0    0    0    0
sl-C3H        37       0    1    0    3    0    0    0    0    0    0    0    0    0    0
sHC2O         41       0    1    0    2    0    1    0    0    0    0    0    0    0    0
sHOCO         45       0    1    0    1    0    2    0    0    0    0    0    0    0    0
sHNCO         43       0    1    0    1    1    1    0    0    0    0    0    0    0    0
sH2CCN        40       0    2    0    2    1    0    0    0    0    0    0    0    0    0
sH2CCO        42       0    2    0    2    0    1    0    0    0    0    0    0    0    0
sC2H3         27       0    3    0    2    0    0    0    0    0    0    0    0    0    0
sc-C3H2       38       0    2    0    3    0    0    0    0    0    0    0    0    0    0
sC4H          49       0    1    0    4    0    0    0    0    0    0    0    0    0    0
sC4N          62       0    0    0    4    1    0    0    0    0    0    0    0    0    0
sC4P          79       0    0    0    4    0    0    0    0    0    0    0    0    1    0
sC4S          80       0    0    0    4    0    0    0    1    0    0    0    0    0    0
sC5           60       0    0    0    5    0    0    0    0    0    0    0    0    0    0
sHCOOH        46       0    2    0    1    0    2    0    0    0    0    0    0    0    0
sCH2PH        46       0    3    0    1    0    0    0    0    0    0    0    0    1    0
sCH2NH        29       0    3    0    1    1    0    0    0    0    0    0    0    0    0
sCH4          16       0    4    0    1    0    0    0    0    0    0    0    0    0    0
sHCNCC        51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
sHCCNC        51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
sHC3N         51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
sHNCCC        51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
sNH2CN        42       0    2    0    1    2    0    0    0    0    0    0    0    0    0
sc-HCCHSi     54       0    2    0    2    0    0    1    0    0    0    0    0    0    0
sSiC3H        65       0    1    0    3    0    0    1    0    0    0    0    0    0    0
sSiC4         76       0    0    0    4    0    0    1    0    0    0    0    0    0    0
sSiCH3        43       0    3    0    1    0    0    1    0    0    0    0    0    0    0
sSiH4         32       0    4    0    0    0    0    1    0    0    0    0    0    0    0
sl-C3H2       38       0    2    0    3    0    0    0    0    0    0    0    0    0    0
sCH2OH        31       0    3    0    1    0    1    0    0    0    0    0    0    0    0
sCH3O         31       0    3    0    1    0    1    0    0    0    0    0    0    0    0
sHCOCO        57       0    1    0    2    0    2    0    0    0    0    0    0    0    0
sNC4N         76       0    0    0    4    2    0    0    0    0    0    0    0    0    0
sH2CSiCH      55       0    3    0    2    0    0    1    0    0    0    0    0    0    0
sSiC4H        77       0    1    0    4    0    0    1    0    0    0    0    0    0    0
sCH3CN        41       0    3    0    2    1    0    0    0    0    0    0    0    0    0
sC2H4         28       0    4    0    2    0    0    0    0    0    0    0    0    0    0
sCH2CCH       39       0    3    0    3    0    0    0    0    0    0    0    0    0    0
sC4H2         50       0    2    0    4    0    0    0    0    0    0    0    0    0    0
sC5H          61       0    1    0    5    0    0    0    0    0    0    0    0    0    0
sC5N          74       0    0    0    5    1    0    0    0    0    0    0    0    0    0
sC6           72       0    0    0    6    0    0    0    0    0    0    0    0    0    0
sCH3OH        32       0    4    0    1    0    1    0    0    0    0    0    0    0    0
sNH2CHO       45       0    3    0    1    1    1    0    0    0    0    0    0    0    0
sHC4N         63       0    1    0    4    1    0    0    0    0    0    0    0    0    0
sCH2NH2       30       0    4    0    1    1    0    0    0    0    0    0    0    0    0
sCH3CO        43       0    3    0    2    0    1    0    0    0    0    0    0    0    0
sC5O          76       0    0    0    5    0    1    0    0    0    0    0    0    0    0
sHCOCHO       58       0    2    0    2    0    2    0    0    0    0    0    0    0    0
sCH3CCH       40       0    4    0    3    0    0    0    0    0    0    0    0    0    0
sSiC2CH3      67       0    3    0    3    0    0    1    0    0    0    0    0    0    0
sCH3CHO       44       0    4    0    2    0    1    0    0    0    0    0    0    0    0
sC2H5         29       0    5    0    2    0    0    0    0    0    0    0    0    0    0
sCH2CHCN      53       0    3    0    3    1    0    0    0    0    0    0    0    0    0
sC5H2         62       0    2    0    5    0    0    0    0    0    0    0    0    0    0
sC6H          73       0    1    0    6    0    0    0    0    0    0    0    0    0    0
sC7           84       0    0    0    7    0    0    0    0    0    0    0    0    0    0
sCH3NH2       31       0    5    0    1    1    0    0    0    0    0    0    0    0    0
sHC5N         75       0    1    0    5    1    0    0    0    0    0    0    0    0    0
sC4H3         51       0    3    0    4    0    0    0    0    0    0    0    0    0    0
sC6N          86       0    0    0    6    1    0    0    0    0    0    0    0    0    0
sNC6N        100       0    0    0    6    2    0    0    0    0    0    0    0    0    0
sCH2CHC2H     52       0    4    0    4    0    0    0    0    0    0    0    0    0    0
sSiC6H       101       0    1    0    6    0    0    1    0    0    0    0    0    0    0
sC6H2         74       0    2    0    6    0    0    0    0    0    0    0    0    0    0
sC7H          85       0    1    0    7    0    0    0    0    0    0    0    0    0    0
sC7N          98       0    0    0    7    1    0    0    0    0    0    0    0    0    0
sC8           96       0    0    0    8    0    0    0    0    0    0    0    0    0    0
sCH3C3N       65       0    3    0    4    1    0    0    0    0    0    0    0    0    0
sHCOOCH3      60       0    4    0    2    0    2    0    0    0    0    0    0    0    0
sHC6N         87       0    1    0    6    1    0    0    0    0    0    0    0    0    0
sC2H6         30       0    6    0    2    0    0    0    0    0    0    0    0    0    0
sC5H3         63       0    3    0    5    0    0    0    0    0    0    0    0    0    0
sCH3OCH2      45       0    5    0    2    0    1    0    0    0    0    0    0    0    0
sC7O         100       0    0    0    7    0    1    0    0    0    0    0    0    0    0
sCH3CHCH2     42       0    6    0    3    0    0    0    0    0    0    0    0    0    0
sSiC3H5       69       0    5    0    3    0    0    1    0    0    0    0    0    0    0
sCH3CH2OH     46       0    6    0    2    0    1    0    0    0    0    0    0    0    0
sC7H2         86       0    2    0    7    0    0    0    0    0    0    0    0    0    0
sC8H          97       0    1    0    8    0    0    0    0    0    0    0    0    0    0
sC9          108       0    0    0    9    0    0    0    0    0    0    0    0    0    0
sCH3C4H       64       0    4    0    5    0    0    0    0    0    0    0    0    0    0
sCH3OCH3      46       0    6    0    2    0    1    0    0    0    0    0    0    0    0
sHC7N         99       0    1    0    7    1    0    0    0    0    0    0    0    0    0
sC6H3         75       0    3    0    6    0    0    0    0    0    0    0    0    0    0
sC8N         110       0    0    0    8    1    0    0    0    0    0    0    0    0    0
sC5H4         64       0    4    0    5    0    0    0    0    0    0    0    0    0    0
sNC8N        124       0    0    0    8    2    0    0    0    0    0    0    0    0    0
sCH2CHCHCH2   54       0    6    0    4    0    0    0    0    0    0    0    0    0    0
sSiC8H       125       0    1    0    8    0    0    1    0    0    0    0    0    0    0
sHC8N        111       0    1    0    8    1    0    0    0    0    0    0    0    0    0
sCH3COCH3     58       0    6    0    3    0    1    0    0    0    0    0    0    0    0
sC8H2         98       0    2    0    8    0    0    0    0    0    0    0    0    0    0
sC9H         109       0    1    0    9    0    0    0    0    0    0    0    0    0    0
sC10         120       0    0    0   10    0    0    0    0    0    0    0    0    0    0
sC9N         122       0    0    0    9    1    0    0    0    0    0    0    0    0    0
sCH3C5N       89       0    3    0    6    1    0    0    0    0    0    0    0    0    0
sC6H4         76       0    4    0    6    0    0    0    0    0    0    0    0    0    0
sC7H3         87       0    3    0    7    0    0    0    0    0    0    0    0    0    0
sC9O         124       0    0    0    9    0    1    0    0    0    0    0    0    0    0
sC10H        121       0    1    0   10    0    0    0    0    0    0    0    0    0    0
sC11         132       0    0    0   11    0    0    0    0    0    0    0    0    0    0
sC9H2        110       0    2    0    9    0    0    0    0    0    0    0    0    0    0
sCH3C6H       88       0    4    0    7    0    0    0    0    0    0    0    0    0    0
sHC9N        123       0    1    0    9    1    0    0    0    0    0    0    0    0    0
sC7H4         88       0    4    0    7    0    0    0    0    0    0    0    0    0    0
sC8H3         99       0    3    0    8    0    0    0    0    0    0    0    0    0    0
sC10N        134       0    0    0   10    1    0    0    0    0    0    0    0    0    0
sCH3C7N      113       0    3    0    8    1    0    0    0    0    0    0    0    0    0
sC6H6         78       0    6    0    6    0    0    0    0    0    0    0    0    0    0
sC10H2       122       0    2    0   10    0    0    0    0    0    0    0    0    0    0
sC8H4        100       0    4    0    8    0    0    0    0    0    0    0    0    0    0
sC9H3        111       0    3    0    9    0    0    0    0    0    0    0    0    0    0
sC9H4        112       0    4    0    9    0    0    0    0    0    0    0    0    0    0
Gc-1           0      -1    0    0    0    0    0    0    0    0    0    0    0    0    0
Gc0            0       0    0    0    0    0    0    0    0    0    0    0    0    0    0
Gc+1           0       1    0    0    0    0    0    0    0    0    0    0    0    0    0
