#name       mass  charge    H   He    C    N    O   Si    S   Fe   Na   Mg   Cl    P    F
HCCSi         53       0    1    0    2    0    0    1    0    0    0    0    0    0    0
l-SiC3        64       0    0    0    3    0    0    1    0    0    0    0    0    0    0
SiH3          31       0    3    0    0    0    0    1    0    0    0    0    0    0    0
H2CN          28       0    2    0    1    1    0    0    0    0    0    0    0    0    0
C5            60       0    0    0    5    0    0    0    0    0    0    0    0    0    0
c-C3H2        38       0    2    0    3    0    0    0    0    0    0    0    0    0    0
l-C3H2        38       0    2    0    3    0    0    0    0    0    0    0    0    0    0
C4H           49       0    1    0    4    0    0    0    0    0    0    0    0    0    0
CH4           16       0    4    0    1    0    0    0    0    0    0    0    0    0    0
HC3N          51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
H2CCN         40       0    2    0    2    1    0    0    0    0    0    0    0    0    0
H2CCO         42       0    2    0    2    0    1    0    0    0    0    0    0    0    0
C2H3          27       0    3    0    2    0    0    0    0    0    0    0    0    0    0
C4N           62       0    0    0    4    1    0    0    0    0    0    0    0    0    0
C4P           79       0    0    0    4    0    0    0    0    0    0    0    0    1    0
C4S           80       0    0    0    4    0    0    0    1    0    0    0    0    0    0
HCOOH         46       0    2    0    1    0    2    0    0    0    0    0    0    0    0
CH2PH         46       0    3    0    1    0    0    0    0    0    0    0    0    1    0
CH2NH         29       0    3    0    1    1    0    0    0    0    0    0    0    0    0
c-HCCHSi      54       0    2    0    2    0    0    1    0    0    0    0    0    0    0
SiC3H         65       0    1    0    3    0    0    1    0    0    0    0    0    0    0
SiC4          76       0    0    0    4    0    0    1    0    0    0    0    0    0    0
SiCH3         43       0    3    0    1    0    0    1    0    0    0    0    0    0    0
SiH4          32       0    4    0    0    0    0    1    0    0    0    0    0    0    0
HCNCC         51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
HCCNC         51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
HNCCC         51       0    1    0    3    1    0    0    0    0    0    0    0    0    0
NH2CN         42       0    2    0    1    2    0    0    0    0    0    0    0    0    0
C6            72       0    0    0    6    0    0    0    0    0    0    0    0    0    0
CH3CN         41       0    3    0    2    1    0    0    0    0    0    0    0    0    0
CH2CCH        39       0    3    0    3    0    0    0    0    0    0    0    0    0    0
C2H4          28       0    4    0    2    0    0    0    0    0    0    0    0    0    0
NC4N          76       0    0    0    4    2    0    0    0    0    0    0    0    0    0
H2CSiCH       55       0    3    0    2    0    0    1    0    0    0    0    0    0    0
SiC4H         77       0    1    0    4    0    0    1    0    0    0    0    0    0    0
HC4N          63       0    1    0    4    1    0    0    0    0    0    0    0    0    0
C4H2          50       0    2    0    4    0    0    0    0    0    0    0    0    0    0
C5H           61       0    1    0    5    0    0    0    0    0    0    0    0    0    0
C5N           74       0    0    0    5    1    0    0    0    0    0    0    0    0    0
CH3OH         32       0    4    0    1    0    1    0    0    0    0    0    0    0    0
NH2CHO        45       0    3    0    1    1    1    0    0    0    0    0    0    0    0
C5O           76       0    0    0    5    0    1    0    0    0    0    0    0    0    0
C7            84       0    0    0    7    0    0    0    0    0    0    0    0    0    0
HC5N          75       0    1    0    5    1    0    0    0    0    0    0    0    0    0
SiC2CH3       67       0    3    0    3    0    0    1    0    0    0    0    0    0    0
CH3CHO        44       0    4    0    2    0    1    0    0    0    0    0    0    0    0
C2H5          29       0    5    0    2    0    0    0    0    0    0    0    0    0    0
CH2CHCN       53       0    3    0    3    1    0    0    0    0    0    0    0    0    0
CH3CCH        40       0    4    0    3    0    0    0    0    0    0    0    0    0    0
C5H2          62       0    2    0    5    0    0    0    0    0    0    0    0    0    0
C6H           73       0    1    0    6    0    0    0    0    0    0    0    0    0    0
CH3NH2        31       0    5    0    1    1    0    0    0    0    0    0    0    0    0
C4H3          51       0    3    0    4    0    0    0    0    0    0    0    0    0    0
C6N           86       0    0    0    6    1    0    0    0    0    0    0    0    0    0
C8            96       0    0    0    8    0    0    0    0    0    0    0    0    0    0
HC6N          87       0    1    0    6    1    0    0    0    0    0    0    0    0    0
NC6N         100       0    0    0    6    2    0    0    0    0    0    0    0    0    0
SiC6H        101       0    1    0    6    0    0    1    0    0    0    0    0    0    0
CH2CHC2H      52       0    4    0    4    0    0    0    0    0    0    0    0    0    0
C6H2          74       0    2    0    6    0    0    0    0    0    0    0    0    0    0
C7H           85       0    1    0    7    0    0    0    0    0    0    0    0    0    0
C7N           98       0    0    0    7    1    0    0    0    0    0    0    0    0    0
CH3C3N        65       0    3    0    4    1    0    0    0    0    0    0    0    0    0
HCOOCH3       60       0    4    0    2    0    2    0    0    0    0    0    0    0    0
C2H6          30       0    6    0    2    0    0    0    0    0    0    0    0    0    0
C7O          100       0    0    0    7    0    1    0    0    0    0    0    0    0    0
C9           108       0    0    0    9    0    0    0    0    0    0    0    0    0    0
HC7N          99       0    1    0    7    1    0    0    0    0    0    0    0    0    0
SiC3H5        69       0    5    0    3    0    0    1    0    0    0    0    0    0    0
CH3CH2OH      46       0    6    0    2    0    1    0    0    0    0    0    0    0    0
C7H2          86       0    2    0    7    0    0    0    0    0    0    0    0    0    0
C8H           97       0    1    0    8    0    0    0    0    0    0    0    0    0    0
CH3C4H        64       0    4    0    5    0    0    0    0    0    0    0    0    0    0
CH3OCH3       46       0    6    0    2    0    1    0    0    0    0    0    0    0    0
CH3CHCH2      42       0    6    0    3    0    0    0    0    0    0    0    0    0    0
C8N          110       0    0    0    8    1    0    0    0    0    0    0    0    0    0
C10          120       0    0    0   10    0    0    0    0    0    0    0    0    0    0
CH3COCH3      58       0    6    0    3    0    1    0    0    0    0    0    0    0    0
C8H2          98       0    2    0    8    0    0    0    0    0    0    0    0    0    0
C9H          109       0    1    0    9    0    0    0    0    0    0    0    0    0    0
C9N          122       0    0    0    9    1    0    0    0    0    0    0    0    0    0
CH3C5N        89       0    3    0    6    1    0    0    0    0    0    0    0    0    0
HC8N         111       0    1    0    8    1    0    0    0    0    0    0    0    0    0
NC8N         124       0    0    0    8    2    0    0    0    0    0    0    0    0    0
SiC8H        125       0    1    0    8    0    0    1    0    0    0    0    0    0    0
CH2CHCHCH2    54       0    6    0    4    0    0    0    0    0    0    0    0    0    0
C9O          124       0    0    0    9    0    1    0    0    0    0    0    0    0    0
HC9N         123       0    1    0    9    1    0    0    0    0    0    0    0    0    0
C10H         121       0    1    0   10    0    0    0    0    0    0    0    0    0    0
C9H2         110       0    2    0    9    0    0    0    0    0    0    0    0    0    0
CH3C6H        88       0    4    0    7    0    0    0    0    0    0    0    0    0    0
C11          132       0    0    0   11    0    0    0    0    0    0    0    0    0    0
C10N         134       0    0    0   10    1    0    0    0    0    0    0    0    0    0
CH3C7N       113       0    3    0    8    1    0    0    0    0    0    0    0    0    0
C10H2        122       0    2    0   10    0    0    0    0    0    0    0    0    0    0
C6H6          78       0    6    0    6    0    0    0    0    0    0    0    0    0    0
Si+           28       1    0    0    0    0    0    1    0    0    0    0    0    0    0
C+            12       1    0    0    1    0    0    0    0    0    0    0    0    0    0
C-            12      -1    0    0    1    0    0    0    0    0    0    0    0    0    0
H-             1      -1    1    0    0    0    0    0    0    0    0    0    0    0    0
O-            16      -1    0    0    0    0    1    0    0    0    0    0    0    0    0
S-            32      -1    0    0    0    0    0    0    1    0    0    0    0    0    0
He+            4       1    0    1    0    0    0    0    0    0    0    0    0    0    0
H+             1       1    1    0    0    0    0    0    0    0    0    0    0    0    0
Fe+           56       1    0    0    0    0    0    0    0    1    0    0    0    0    0
Mg+           24       1    0    0    0    0    0    0    0    0    0    1    0    0    0
N+            14       1    0    0    0    1    0    0    0    0    0    0    0    0    0
Na+           23       1    0    0    0    0    0    0    0    0    1    0    0    0    0
O+            16       1    0    0    0    0    1    0    0    0    0    0    0    0    0
S+            32       1    0    0    0    0    0    0    1    0    0    0    0    0    0
Cl+           35       1    0    0    0    0    0    0    0    0    0    0    1    0    0
F+            19       1    0    0    0    0    0    0    0    0    0    0    0    0    1
P+            31       1    0    0    0    0    0    0    0    0    0    0    0    1    0
e-             0      -1    0    0    0    0    0    0    0    0    0    0    0    0    0
CH+           13       1    1    0    1    0    0    0    0    0    0    0    0    0    0
H2+            2       1    2    0    0    0    0    0    0    0    0    0    0    0    0
OH+           17       1    1    0    0    0    1    0    0    0    0    0    0    0    0
SiH+          29       1    1    0    0    0    0    1    0    0    0    0    0    0    0
C2+           24       1    0    0    2    0    0    0    0    0    0    0    0    0    0
CN-           26      -1    0    0    1    1    0    0    0    0    0    0    0    0    0
OH-           17      -1    1    0    0    0    1    0    0    0    0    0    0    0    0
CF+           31       1    0    0    1    0    0    0    0    0    0    0    0    0    1
HS+           33       1    1    0    0    0    0    0    1    0    0    0    0    0    0
SO+           48       1    0    0    0    0    1    0    1    0    0    0    0    0    0
CCl+          47       1    0    0    1    0    0    0    0    0    0    0    1    0    0
ClO+          51       1    0    0    0    0    1    0    0    0    0    0    1    0    0
CN+           26       1    0    0    1    1    0    0    0    0    0    0    0    0    0
CO+           28       1    0    0    1    0    1    0    0    0    0    0    0    0    0
CP+           43       1    0    0    1    0    0    0    0    0    0    0    0    1    0
CS+           44       1    0    0    1    0    0    0    1    0    0    0    0    0    0
HCl+          36       1    1    0    0    0    0    0    0    0    0    0    1    0    0
HF+           20       1    1    0    0    0    0    0    0    0    0    0    0    0    1
HeH+           5       1    1    1    0    0    0    0    0    0    0    0    0    0    0
N2+           28       1    0    0    0    2    0    0    0    0    0    0    0    0    0
NH+           15       1    1    0    0    1    0    0    0    0    0    0    0    0    0
NO+           30       1    0    0    0    1    1    0    0    0    0    0    0    0    0
NS+           46       1    0    0    0    1    0    0    1    0    0    0    0    0    0
O2+           32       1    0    0    0    0    2    0    0    0    0    0    0    0    0
PH+           32       1    1    0    0    0    0    0    0    0    0    0    0    1    0
PN+           45       1    0    0    0    1    0    0    0    0    0    0    0    1    0
PO+           47       1    0    0    0    0    1    0    0    0    0    0    0    1    0
