CCS         0  0  0  2  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    55
C3          0  0  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    56
CCO         0  0  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    57
CCP         0  0  0  2  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0    58
CH2         0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    59
CO2         0  0  0  1  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    60
H2O         0  2  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    61
H2S         0  2  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    62
HCN         0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    63
HCO         0  1  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    64
HCP         0  1  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0    65
HCS         0  1  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    66
HCSi        0  1  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    67
HNC         0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    68
HNO         0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    69
HNSi        0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    70
HPO         0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0    71
HSS         0  1  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    72
N2O         0  0  0  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    73
NaOH        0  1  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0    74
NH2         0  2  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    75
NO2         0  0  0  0  1  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    76
O2H         0  1  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    77
OCN         0  0  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    78
OCS         0  0  0  1  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    79
PH2         0  2  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0    80
c-SiC2      0  0  0  2  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    81
SiH2        0  2  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    82
SiNC        0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    83
SiO2        0  0  0  0  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    84
SO2         0  0  0  0  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    85
(1)CH2      0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    86
CN2         0  0  0  1  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    87
N2H         0  1  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    88
O3          0  0  0  0  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    89
FO2         0  0  0  0  0  2  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0    90
FNO         0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0    91
ClOH        0  1  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0    92
OClO        0  0  0  0  0  2  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0    93
ClO2        0  0  0  0  0  2  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0    94
CNO         0  0  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    95
MgH2        0  2  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0    96
HSO         0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    97
C2H2        0  2  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    98
c-C3H       0  1  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0    99
C3N         0  0  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   100
C3O         0  0  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   101
C3P         0  0  0  3  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0   102
C3S         0  0  0  3  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   103
C4          0  0  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   104
CH3         0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   105
H2CN        0  2  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   106
H2CO        0  2  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   107
H2CS        0  2  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   108
HOOH        0  2  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   109
HSSH        0  2  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   110
H2SiO       0  2  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   111
HCCP        0  1  0  2  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0   112
NH3         0  3  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   113
HCCSi       0  1  0  2  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   114
l-SiC3      0  0  0  3  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   115
SiCH2       0  2  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   116
SiH3        0  3  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   117
l-C3H       0  1  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   118
C2N2        0  0  0  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   119
HC2N        0  1  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   120
N2H2        0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   121
NO3         0  0  0  0  1  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   122
SO3         0  0  0  0  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   123
HC2O        0  1  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   124
HOCO        0  1  0  1  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   125
HNCO        0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   126
HNCS        0  1  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   127
NCSH        0  1  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   128
HOCN        0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   129
HCNO        0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   130
HONC        0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   131
HSCN        0  1  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   132
HCNS        0  1  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   133
HCCS        0  1  0  2  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   134
H2SO        0  2  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   135
H2CCN       0  2  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   136
H2CCO       0  2  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   137
C2H3        0  3  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   138
c-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   139
C4H         0  1  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   140
C4N         0  0  0  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   141
C4P         0  0  0  4  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0   142
C4S         0  0  0  4  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   143
C5          0  0  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   144
HCOOH       0  2  0  1  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   145
CH2PH       0  3  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0   146
CH2NH       0  3  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   147
CH4         0  4  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   148
HCNCC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   149
HCCNC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   150
HC3N        0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   151
HNCCC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   152
NH2CN       0  2  0  1  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   153
c-HCCHSi    0  2  0  2  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   154
SiC3H       0  1  0  3  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   155
SiC4        0  0  0  4  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   156
SiCH3       0  3  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   157
SiH4        0  4  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   158
l-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   159
CH2OH       0  3  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   160
CH3O        0  3  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   161
HC2N2       0  1  0  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   162
N2H3        0  3  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   163
HCOCO       0  1  0  2  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   164
CH3S        0  3  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   165
CH2SH       0  3  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   166
HC3S        0  1  0  3  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   167
H2CCS       0  2  0  2  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   168
t-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   169
NH2CS       0  2  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   170
HNCSH       0  2  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   171
HSCHN       0  2  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   172
HNCHS       0  2  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   173
HC3O        0  1  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   174
HCOCN       0  1  0  2  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   175
NC4N        0  0  0  4  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   176
H2CSiCH     0  3  0  2  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   177
SiC4H       0  1  0  4  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   178
CH3CN       0  3  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   179
C2H4        0  4  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   180
CH2CCH      0  3  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   181
C4H2        0  2  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   182
C5H         0  1  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   183
C5N         0  0  0  5  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   184
C6          0  0  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   185
CH3OH       0  4  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   186
NH2CHO      0  3  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   187
HC4N        0  1  0  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   188
CH2NH2      0  4  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   189
CH3CO       0  3  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   190
CH3NH       0  4  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   191
H2C3N       0  2  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   192
N2H4        0  4  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   193
CH2CHO      0  3  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   194
C5O         0  0  0  5  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   195
HCOCHO      0  2  0  2  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   196
HCCCHO      0  2  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   197
